ID,Address,AssessedValue
17-0-94,10 ALBION AVE,620500
17-0-116,11 ALBION AVE,683400
17-0-95,12 ALBION AVE,1021200
17-0-115,13 ALBION AVE,726200
17-0-96,14 ALBION AVE,821900
17-0-114,15 ALBION AVE,706100
17-0-97,16 ALBION AVE,602000
17-0-112,17 ALBION AVE,630200
17-0-98,18 ALBION AVE,714000
17-0-111,19 ALBION AVE,701300
17-0-99,20 ALBION AVE,652000
17-0-110,21 ALBION AVE,707100
17-0-100,22 ALBION AVE,703200
17-0-109,23 ALBION AVE,710300
17-0-101,24 ALBION AVE,630600
17-0-108,25 ALBION AVE,656800
17-0-102,26 ALBION AVE,706300
17-0-107,27 ALBION AVE,632700
17-0-103,28 ALBION AVE,607800
17-0-106,29 ALBION AVE,640000
17-0-118,3 ALBION AVE,929200
17-0-104,30 ALBION AVE,635800
17-0-105,31 ALBION AVE,708700
16-0-268,32 ALBION AVE,755100
16-0-267,33 ALBION AVE,713000
16-0-266,35 ALBION AVE,737200
16-0-265,37 ALBION AVE,878500
16-0-269,38 ALBION AVE,860900
17-0-93,8 ALBION AVE,590500
17-0-117,9 ALBION AVE,674100
22-0-21A,1 ALDEN AVE,720600
21-0-303,11 ALDEN AVE,714700
21-0-310A,12 ALDEN AVE,928200
21-0-302,15 ALDEN AVE,848200
21-0-301,17 ALDEN AVE,912600
21-0-300,19 ALDEN AVE,970500
21-0-315,20 ALDEN AVE,1092800
21-0-316,22 ALDEN AVE,893500
21-0-318,26 ALDEN AVE,846900
21-0-295,29 ALDEN AVE,1196900
22-0-20A,3 ALDEN AVE,811400
21-0-294,31 ALDEN AVE,791000
21-0-293,33 ALDEN AVE,871300
21-0-307,4 ALDEN AVE,885300
21-0-306,5 ALDEN AVE,885700
21-0-308,6 ALDEN AVE,822800
21-0-305,7 ALDEN AVE,948100
21-0-309,8 ALDEN AVE,823400
21-0-304,9 ALDEN AVE,800000
19-0-153,3 ALICE LN,949600
7-0-352,1 APPLE HILL LN,1277700
7-0-350,10 APPLE HILL LN,1079800
7-0-350A,12 APPLE HILL LN,1082000
7-0-328,2 APPLE HILL LN,1074100
7-0-353,3 APPLE HILL LN,1460400
7-0-329A,4 APPLE HILL LN,1108200
7-0-354,5 APPLE HILL LN,1065700
7-0-329B,6 APPLE HILL LN,1064000
7-0-329C,8 APPLE HILL LN,1172300
7-0-329D,9 APPLE HILL LN,1131800
11-0-366,10 ARICIA LN,854000
11-0-372,11 ARICIA LN,1073900
11-0-367,12 ARICIA LN,882000
11-0-368,14 ARICIA LN,886600
11-0-371,15 ARICIA LN,1011100
11-0-369,16 ARICIA LN,920900
11-0-370,17 ARICIA LN,1145700
6-0-210,2 ARICIA LN,987400
6-0-210A,4 ARICIA LN,875000
6-0-210B,5 ARICIA LN,1066900
11-0-364,6 ARICIA LN,1011300
11-0-374,7 ARICIA LN,886500
11-0-365,8 ARICIA LN,912200
11-0-373,9 ARICIA LN,1018200
20-0-52,10 ARLENE AVE,971100
15-0-62,4 ARLENE AVE,906500
15-0-63,6 ARLENE AVE,781100
20-0-53,7 ARLENE AVE,848200
15-0-64,8 ARLENE AVE,771700
21-0-370,10 ARNOLD RD,701900
21-0-362,11 ARNOLD RD,836400
21-0-371,12 ARNOLD RD,869400
21-0-372,14 ARNOLD RD,813100
21-0-361,15 ARNOLD RD,786300
21-0-373,16 ARNOLD RD,709800
21-0-360,17 ARNOLD RD,835700
21-0-374,18 ARNOLD RD,751100
21-0-359,19 ARNOLD RD,1271100
21-0-368,2 ARNOLD RD,699500
21-0-375,20 ARNOLD RD,781000
21-0-358,21 ARNOLD RD,1076000
21-0-376,22 ARNOLD RD,767200
21-0-356,23 ARNOLD RD,754600
21-0-377,24 ARNOLD RD,704500
21-0-378,26 ARNOLD RD,722700
21-0-366,3 ARNOLD RD,659500
21-0-365,5 ARNOLD RD,689600
21-0-364,7 ARNOLD RD,814200
21-0-369,8 ARNOLD RD,834700
21-0-363,9 ARNOLD RD,700000
19-0-171A,3 ARTHUR ST,765000
19-0-166A,4 ARTHUR ST,936500
21-0-452,11 ASPEN LN,1061700
25-0-28,3 ASPEN LN,1158600
21-0-455,4 ASPEN LN,1100100
25-0-29,5 ASPEN LN,1149300
21-0-454,6 ASPEN LN,1108800
25-0-30,7 ASPEN LN,1187400
21-0-453,8 ASPEN LN,1116500
25-0-31,9 ASPEN LN,1142900
18-0-29,1 ATWOOD AVE,605900
18-0-24,10 ATWOOD AVE,747500
18-0-35,11 ATWOOD AVE,581400
23-0-30,14 ATWOOD AVE,651600
23-0-31,16 ATWOOD AVE,752300
18-0-37,19 ATWOOD AVE,719800
23-0-33,22 ATWOOD AVE,699800
23-0-35,26 ATWOOD AVE,710800
18-0-28,3 ATWOOD AVE,609500
18-0-22,4 ATWOOD AVE,652300
18-0-27,5 ATWOOD AVE,709800
18-0-23,6 ATWOOD AVE,555700
18-0-26,7 ATWOOD AVE,610900
3-0-287,1 AVALON RD,699100
3-0-261,10 AVALON RD,762300
3-0-275,11 AVALON RD,713900
3-0-262,12 AVALON RD,730100
3-0-274,13 AVALON RD,822700
3-0-263,14 AVALON RD,736400
3-0-264,16 AVALON RD,814800
3-0-269,17 AVALON RD,836700
3-0-265,18 AVALON RD,674000
3-0-268,19 AVALON RD,727500
3-0-256,2 AVALON RD,762000
3-0-266,20 AVALON RD,794400
9-0-109,21 AVALON RD,671100
3-0-267,22 AVALON RD,712600
9-0-110,24 AVALON RD,692900
9-0-117,25 AVALON RD,935600
9-0-114,26 AVALON RD,796500
3-0-285,3 AVALON RD,742600
3-0-257,4 AVALON RD,929000
3-0-284,5 AVALON RD,873900
3-0-258,6 AVALON RD,705100
3-0-259,8 AVALON RD,825400
3-0-276,9 AVALON RD,809000
12-0-165,10 AVON ST,699200
12-0-164,11 AVON ST,740700
12-0-166,12 AVON ST,1005000
12-0-167,14 AVON ST,600000
12-0-162,15 AVON ST,848400
12-0-168,16 AVON ST,649900
12-0-161,17 AVON ST,782000
12-0-171,18 AVON ST,771500
12-0-184,2 AVON ST,622500
12-0-185,4 AVON ST,638200
12-0-198,5 AVON ST,504400
12-0-187,8 AVON ST,882600
8-0-21,1 BANCROFT PL,610300
8-0-22,3 BANCROFT PL,856500
13-0-137,4 BANCROFT PL,794100
13-0-139,8 BANCROFT PL,708200
1-0-49,10 BARBARA RD,1046700
1-0-54,11 BARBARA RD,684800
1-0-50,12 BARBARA RD,846400
1-0-51,14 BARBARA RD,897000
1-0-53,15 BARBARA RD,737900
1-0-52,17 BARBARA RD,813100
1-0-307,18 BARBARA RD,1513500
1-0-308,19 BARBARA RD,1089200
1-0-45,2 BARBARA RD,961300
7-0-216,3 BARBARA RD,766700
1-0-46,4 BARBARA RD,690100
7-0-215,5 BARBARA RD,1094900
1-0-47,6 BARBARA RD,846500
7-0-214,7 BARBARA RD,763600
1-0-48,8 BARBARA RD,757700
1-0-55,9 BARBARA RD,798100
13-0-171,5 BARRETT AVE,603800
2-0-164,10 BEACON ST,773000
7-0-396,11 BEACON ST,703400
7-0-395,13 BEACON ST,779600
2-0-177,15 BEACON ST,668900
2-0-176,17 BEACON ST,595100
2-0-175,19 BEACON ST,720500
2-0-174,21 BEACON ST,661600
2-0-166,22 BEACON ST,655800
2-0-167,24 BEACON ST,692200
2-0-370,25 BEACON ST,1250000
2-0-168,26 BEACON ST,648200
2-0-369,27 BEACON ST,1087400
2-0-169,28 BEACON ST,624600
2-0-368,29 BEACON ST,1034000
2-0-170,30 BEACON ST,1032200
2-0-367,31 BEACON ST,1044600
