ID,"Address",AssessedValue
1,"123 Main St",350000
2,"456 Elm St",420000
3,"789 Oak Ave",390000
1,"1 Main St",408369
2,"2 Main St",363112
3,"3 Main St",494194
4,"4 Main St",478393
5,"5 Main St",467026
6,"6 Main St",423158
7,"7 Main St",403736
8,"8 Main St",635929
9,"9 Main St",395580
10,"10 Main St",571208
11,"11 Main St",366663
12,"12 Main St",365622
13,"13 Main St",399123
14,"14 Main St",464629
15,"15 Main St",471981
16,"16 Main St",614951
17,"17 Main St",363912
18,"18 Main St",644254
19,"19 Main St",454248
20,"20 Main St",635706
21,"21 Main St",569949
22,"22 Main St",465574
23,"23 Main St",585514
24,"24 Main St",495852
25,"25 Main St",353407
26,"26 Main St",433707
27,"27 Main St",571571
28,"28 Main St",528389
29,"29 Main St",495684
30,"30 Main St",431516
31,"31 Main St",462886
32,"32 Main St",526472
33,"33 Main St",403587
34,"34 Main St",398625
35,"35 Main St",549191
36,"36 Main St",400707
37,"37 Main St",538208
38,"38 Main St",530331
39,"39 Main St",488685
40,"40 Main St",372780
41,"41 Main St",590870
42,"42 Main St",631137
43,"43 Main St",415444
44,"44 Main St",548461
45,"45 Main St",391313
46,"46 Main St",639428
47,"47 Main St",503709
48,"48 Main St",539600
49,"49 Main St",450814
50,"50 Main St",386466
51,"51 Main St",374025
52,"52 Main St",469484
53,"53 Main St",501722
54,"54 Main St",391833
55,"55 Main St",472049
56,"56 Main St",402953
57,"57 Main St",549295
58,"58 Main St",495738
59,"59 Main St",587717
60,"60 Main St",541277
61,"61 Main St",435277
62,"62 Main St",544081
63,"63 Main St",536264
64,"64 Main St",459842
65,"65 Main St",489973
66,"66 Main St",387435
67,"67 Main St",439725
68,"68 Main St",630043
69,"69 Main St",478351
70,"70 Main St",435669
71,"71 Main St",592357
72,"72 Main St",548943
73,"73 Main St",491530
74,"74 Main St",642002
75,"75 Main St",465141
76,"76 Main St",520017
77,"77 Main St",379327
78,"78 Main St",470087
79,"79 Main St",366829
80,"80 Main St",515388
81,"81 Main St",560325
82,"82 Main St",490373
83,"83 Main St",384701
84,"84 Main St",460615
85,"85 Main St",647365
86,"86 Main St",514981
87,"87 Main St",461477
88,"88 Main St",611740
89,"89 Main St",557425
90,"90 Main St",590570
91,"91 Main St",424905
92,"92 Main St",488873
93,"93 Main St",423206
94,"94 Main St",479303
95,"95 Main St",644318
96,"96 Main St",632579
97,"97 Main St",487752
98,"98 Main St",574622
99,"99 Main St",559400
100,"100 Main St",539790
